--------------------------------------------------------------------------------
JobId          : qinlab-0-636903f5
Name           : ligprep_1
Program        : LigPrep
MMshareExec    : /opt/schrodinger2017-4/./mmshare-v4.0/bin/Linux-x86_64
Host           : qinlab
Dir            : /home/admin/@Z_H/dock_11.7/5zty/ligprep_1
HostEntry      : localhost
JobHost        : qinlab
JobDir         : /scratch/qinlab/ligprep_1
JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
Commandline    : /opt/schrodinger2017-4/./ligprep -inp ligprep_1.inp -HOST localhost:36 -NJOBS 1 -PROJ /home/qinlab/.schrodinger/tmp/tproj47400a545988 -DISP append -VIEWNAME ligprep_gui.LigPrepPanel -TMPLAUNCHDIR -ATTACHED
StartTime      : 2022-11-07-21:11:18
--------------------------------------------------------------------------------
LigPrep: preparing subjobs

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       1
Max retries per job:  2
Max allowed failures: unlimited
Run with -LOCAL:      False
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

C A W | Activity  JobId  JobName  JobHost
- - - | --------- -----------------------
0 1 0 | launched  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]
1 0 0 | finished  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]

All jobs have completed.

1 of 1 job(s) succeeded; 0 job(s) failed.

--------------------------------------------------------------------------------
SUBJOB:  ligprep_1-1 

--------------------------------------------------------------------------------
 JobId          : qinlab-0-636903f7
 Name           : ligprep_1-1
 Program        : LigPrep
 MMshareExec    : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Host           : qinlab
 Dir            : /scratch/qinlab/ligprep_1
 HostEntry      : localhost
 JobHost        : qinlab
 JobDir         : /scratch/qinlab/ligprep_1-1
 JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Commandline    : /opt/schrodinger2017-4/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz -HOST localhost
 StartTime      : 2022-11-07-21:11:19
 --------------------------------------------------------------------------------
 LigPrep (version 44011). Copyright Schrodinger, LLC. All rights reserved.
 
 LigPrep command:
 $SCHRODINGER/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz
 
 Processing steps:
 $DO/sdconvert_in.pyc -bad -orig_file_index 0 -orig_file ligprep_1.sdf in_ligprep_1-1.sdf
 $DO/sdstereoexpander.pyc -max_output 32 -max_generated 1024 <infile.mae> <outfile.mae>
 $DO/htreat.pyc -t All-None -a all -s -l 200 <infile.mae> <outfile.mae>
 $DO/desalter.pyc <infile.mae> <outfile.mae>
 $DO/neutralizer.pyc -m 200 <infile.mae> <outfile.mae>
 $DO/epik.pyc -ph 7.0 -tn 8 -ma 200 -imae <infile.mae> -omae <outfile.mae>
 $DO/guard.pyc <infile.mae> <outfile.mae>
 $DO/stereoizer.pyc -label_specified_chiralities -n 32 <infile.mae> <outfile.mae>
 $DO/cgx.pyc -optimize -ffld 16 -epsilon 10.0 <infile.mae> <outfile.mae>
 
 DO=$SCHRODINGER/run -FROM macromodel ../../lib/Linux-x86_64/python_packages/ligprep3/
 
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
 WARNING: entry #1: empty title, assigning generic 'ligprep_1.sdf:1'.
      416   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:416'
      417   4/0     4/0     4/0     4/0    12/0    12/0    12/0    12/0   'ligprep_1.sdf:417'
      418   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:418'
      419   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:419'
      420   4/0     4/0     4/0     4/0    12/0    12/0    12/0    12/0   'ligprep_1.sdf:420'
      421   4/0     4/0     4/0     4/0    12/0    12/0    12/0    12/0   'ligprep_1.sdf:421'
      422   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:422'
      423   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:423'
      424   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:424'
      425   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:425'
      426   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:426'
      427   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:427'
      428   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:428'
      429   4/0     4/0     4/0     4/0     8/0     8/0    16/0    16/0   'ligprep_1.sdf:429'
      430   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:430'
      431   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:431'
      432   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:432'
      433   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:433'
      434   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:434'
      435   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:435'
      436   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:436'
      437   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:437'
      438   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:438'
      439   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:439'
      440   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:440'
      441   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:441'
      442   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:442'
      443   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:443'
      444   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:444'
      445   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:445'
      446   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:446'
      447  16/0    16/0    16/0    16/0    16/0    16/0    32/0    32/0   'ligprep_1.sdf:447'
      448   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:448'
      449   2/0     2/0     2/0     2/0     6/0     6/0     6/0     6/0   'ligprep_1.sdf:449'
      450   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:450'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      451   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:451'
      452   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:452'
      453   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:453'
      454   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:454'
      455   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:455'
      456   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:456'
      457   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:457'
      458   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:458'
      459   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:459'
      460   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:460'
      461   2/0     2/0     2/0     2/0     6/0     6/0     6/0     6/0   'ligprep_1.sdf:461'
      462   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:462'
      463   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:463'
      464   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:464'
      465   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:465'
      466   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:466'
      467   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:467'
      468   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:468'
      469   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:469'
      470   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:470'
      471   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:471'
      472   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:472'
      473   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:473'
      474   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:474'
      475   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:475'
      476   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:476'
      477   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:477'
      478   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:478'
      479   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:479'
      480   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:480'
      481   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:481'
      482   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:482'
      483   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:483'
      484   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:484'
      485   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:485'
      486   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:486'
      487   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:487'
      488   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:488'
      489   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:489'
      490   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:490'
      491   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:491'
      492   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:492'
      493   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:493'
      494   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:494'
      495   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:495'
      496   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:496'
      497   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:497'
      498   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:498'
      499   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:499'
      500   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:500'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      501   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:501'
      502   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:502'
      503   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:503'
      504   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:504'
      505   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:505'
      506   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:506'
      507   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:507'
      508   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:508'
      509   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:509'
      510   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:510'
      511   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:511'
      512   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:512'
      513   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:513'
      514   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:514'
      515   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:515'
      516   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:516'
      517   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:517'
      518   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:518'
      519   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:519'
      520   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:520'
      521   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:521'
      522   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:522'
      523   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:523'
      524   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:524'
      525   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:525'
      526   8/0     8/0     8/0     8/0    16/0    16/0    16/0    16/0   'ligprep_1.sdf:526'
      527   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:527'
      528   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:528'
      529   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:529'
      530   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:530'
      531   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:531'
      532   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:532'
      533   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:533'
      534   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:534'
      535   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:535'
      536   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:536'
      537   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:537'
      538   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:538'
      539   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:539'
      540   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:540'
      541   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:541'
      542   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:542'
      543   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:543'
      544   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:544'
      545   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:545'
      546   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:546'
      547   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:547'
      548   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:548'
      549   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:549'
      550   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:550'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      551   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:551'
      552   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:552'
      553   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:553'
      554   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:554'
      555   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:555'
      556   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:556'
      557   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:557'
      558   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:558'
      559   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:559'
      560   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:560'
      561   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:561'
      562   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:562'
      563   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:563'
      564   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:564'
      565   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:565'
      566   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:566'
      567   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:567'
      568   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:568'
      569   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:569'
      570   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:570'
      571   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:571'
      572   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:572'
      573   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:573'
      574   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:574'
      575   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:575'
      576   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:576'
      577   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:577'
      578   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:578'
      579   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:579'
      580   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:580'
      581   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:581'
      582   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:582'
      583   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:583'
      584   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:584'
      585   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:585'
      586   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:586'
      587   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:587'
      588   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:588'
      589   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:589'
      590   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:590'
      591   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:591'
      592   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:592'
      593   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:593'
      594   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:594'
      595   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:595'
      596   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:596'
      597   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:597'
      598   8/0     8/0     8/0     8/0    16/0    16/0    16/0    16/0   'ligprep_1.sdf:598'
      599   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:599'
      600   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:600'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      601   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:601'
      602   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:602'
      603   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:603'
      604   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:604'
      605   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:605'
      606   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:606'
      607   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:607'
      608   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:608'
      609   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:609'
      610   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:610'
      611   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:611'
      612   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:612'
      613   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:613'
      614   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:614'
      615   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:615'
      616   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:616'
      617   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:617'
      618   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:618'
      619   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:619'
      620   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:620'
      621   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:621'
      622   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:622'
      623   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:623'
      624   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:624'
      625   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:625'
      626   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:626'
      627   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:627'
      628   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:628'
      629   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:629'
      630   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:630'
      631   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:631'
      632   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:632'
      633   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:633'
      634   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:634'
      635   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:635'
      636   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:636'
      637   8/0     8/0     8/0     8/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:637'
      638   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:638'
      639   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:639'
      640   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:640'
      641   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:641'
      642   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:642'
      643   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:643'
      644   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:644'
      645   2/0     2/0     2/0     2/0     4/0     4/0     6/0     6/0   'ligprep_1.sdf:645'
      646   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:646'
      647   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:647'
      648   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:648'
      649   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:649'
      650   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:650'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      651   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:651'
      652   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:652'
      653   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:653'
